#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      286.4   381.2    74.4   128.1   143.1   241.9   292.0   321.3   344.3   373.1   413.5   486.5   809.2  5931.7 12339.3  30026.2    30000
read      280.5   450.0    80.4   125.1   139.5   229.1   274.6   303.5   325.3   353.5   391.4   455.5   863.0  6628.0 15704.0  29987.0    30010
read      288.2   422.5    80.4   128.4   143.2   236.1   284.6   314.4   337.9   367.1   405.1   471.8   883.5  6575.5 13249.7  30030.7    30020
read      363.3  1075.1    80.4   129.9   145.7   254.4   308.6   341.1   366.9   399.4   449.5   569.9  2207.4 19832.6 31024.1  30019.4    30030
read      302.5   425.6    74.4   128.9   144.9   252.3   306.1   338.1   363.2   393.9   435.0   509.9   923.7  6573.8 14310.6  30042.3    30040
read      256.1   198.0    74.4   128.9   144.3   232.4   279.2   306.4   326.0   349.1   380.0   428.6   564.6  2139.3  8272.5  30055.0    30050
read      257.2   202.4    74.4   128.1   143.4   233.8   281.2   307.9   327.1   350.1   381.4   430.9   568.1  2191.4  8095.9  30041.0    30060
read      249.4   209.6    74.4   126.7   141.0   227.2   269.3   294.3   313.3   335.9   365.8   414.9   556.6  2098.0  9803.7  30049.1    30070
read      261.8   196.7    74.4   127.8   143.8   238.8   287.8   315.1   335.2   359.2   390.6   440.6   584.6  2035.4  8011.8  30040.8    30080
read      259.6   204.0    74.4   128.5   144.2   236.2   282.5   309.1   328.6   352.1   383.1   433.8   589.3  2221.8  8093.5  30136.5    30090
read      256.2   189.6    74.4   128.6   143.0   232.2   280.1   307.5   326.9   349.8   380.4   429.9   572.2  2175.1  8413.0  30112.5    30100
read      253.0   186.6    74.4   128.5   142.8   229.1   275.4   303.2   322.4   345.7   376.0   425.4   561.2  2131.4  7777.1  30205.7    30110
read      255.0   198.7    74.4   127.5   142.1   231.3   276.6   303.3   322.5   345.5   375.1   426.2   576.6  2313.9  7755.0  30096.8    30120
read      244.0   188.6    74.4   127.2   140.6   220.1   262.3   288.3   307.7   330.9   361.0   407.3   545.1  2105.1  7807.6  30074.3    30130
read      237.2   172.2    74.4   126.2   139.6   213.8   253.5   279.2   298.5   321.3   351.5   397.6   521.2  1868.1  7780.0  30159.4    30140
read      258.6   216.8    74.4   128.0   143.7   234.0   279.5   306.7   326.5   350.5   382.7   434.7   588.0  2347.1  8779.6  30139.4    30150
read      253.7   178.5    74.4   128.2   142.8   231.3   276.2   302.9   322.0   345.4   376.3   428.4   573.9  1955.6  7798.1  30156.2    30160
