p95,QPS,target
585.6,4950.6,5000
796.2,10025.2,10000
878.6,14973.6,15000
935.5,20001.0,20000
999.9,24989.6,25000
1000.2,30054.2,30000
1017.8,35079.8,35000
1010.7,40100.4,40000
1020.2,44949.0,45000
1020.8,49979.4,50000
1047.2,54971.2,55000
1162.9,59867.4,60000
1247.8,64935.4,65000
1393.5,69826.0,70000
1686.2,67105.1,75000
1607.3,70906.6,80000
1648.1,69346.4,85000
1684.9,68886.0,90000
1654.2,69257.6,95000
1679.9,69106.0,100000
1577.6,72227.6,105000
1696.6,67534.8,110000
1637.2,69675.8,115000
1712.1,66877.4,120000
