Time,C0,C1,C2,C3
1621631587704,0.0,0.0,0.0,0.0
1621631587804,0.0,0.0,0.0,0.0
1621631587905,0.0,0.0,0.0,0.0
1621631588005,0.0,0.0,0.0,0.0
1621631588106,0.0,0.0,0.0,0.0
1621631588207,0.0,0.0,0.0,0.0
1621631588307,0.0,0.0,0.0,0.0
1621631588408,0.0,0.0,9.1,0.0
1621631588509,0.0,0.0,0.0,0.0
1621631588609,9.1,0.0,0.0,0.0
1621631588709,0.0,0.0,10.0,0.0
1621631588810,0.0,0.0,0.0,0.0
1621631588910,0.0,0.0,0.0,0.0
1621631589011,10.0,0.0,0.0,0.0
1621631589111,0.0,0.0,0.0,0.0
1621631589212,0.0,0.0,0.0,0.0
1621631589312,0.0,9.1,0.0,0.0
1621631589413,9.1,0.0,9.1,0.0
1621631589513,10.0,9.1,0.0,16.7
1621631589614,0.0,0.0,0.0,0.0
1621631589714,0.0,0.0,0.0,0.0
1621631589815,18.2,10.0,0.0,10.0
1621631589915,0.0,0.0,0.0,0.0
1621631590016,0.0,0.0,9.1,0.0
1621631590116,0.0,0.0,0.0,0.0
1621631590217,0.0,0.0,0.0,0.0
1621631590317,0.0,0.0,0.0,0.0
1621631590418,9.1,0.0,0.0,0.0
1621631590518,0.0,0.0,0.0,0.0
1621631590619,0.0,0.0,0.0,0.0
1621631590719,0.0,0.0,0.0,0.0
1621631590820,11.1,0.0,0.0,0.0
1621631590920,10.0,0.0,9.1,0.0
1621631591021,0.0,0.0,0.0,0.0
1621631591121,0.0,0.0,0.0,0.0
1621631591222,0.0,9.1,0.0,0.0
1621631591322,10.0,9.1,18.2,0.0
1621631591423,18.2,0.0,0.0,0.0
1621631591523,0.0,0.0,0.0,0.0
1621631591624,11.1,0.0,10.0,9.1
1621631591724,0.0,0.0,0.0,0.0
1621631591825,18.2,10.0,9.1,10.0
1621631591925,0.0,0.0,9.1,0.0
1621631592026,0.0,0.0,0.0,0.0
1621631592126,0.0,0.0,0.0,0.0
1621631592227,10.0,0.0,0.0,0.0
1621631592327,0.0,0.0,0.0,9.1
1621631592428,10.0,10.0,0.0,9.1
1621631592528,10.0,0.0,9.1,0.0
1621631592629,0.0,0.0,9.1,0.0
1621631592729,0.0,0.0,0.0,0.0
1621631592830,0.0,0.0,0.0,16.7
1621631592930,0.0,0.0,0.0,0.0
1621631593030,11.1,0.0,0.0,0.0
1621631593131,0.0,0.0,0.0,0.0
1621631593231,0.0,0.0,9.1,9.1
1621631593332,0.0,0.0,0.0,0.0
1621631593432,0.0,0.0,0.0,0.0
1621631593533,0.0,0.0,0.0,0.0
1621631593633,0.0,0.0,0.0,0.0
1621631593734,25.0,0.0,0.0,0.0
1621631593834,11.1,20.0,0.0,11.1
1621631593935,11.1,0.0,0.0,0.0
1621631594035,0.0,0.0,0.0,0.0
1621631594136,10.0,10.0,0.0,0.0
1621631594236,0.0,0.0,0.0,0.0
1621631594337,0.0,0.0,9.1,0.0
1621631594437,0.0,10.0,10.0,0.0
1621631594538,0.0,0.0,0.0,0.0
1621631594638,0.0,0.0,0.0,0.0
1621631594739,0.0,0.0,0.0,0.0
1621631594839,10.0,0.0,0.0,10.0
1621631594940,0.0,0.0,0.0,0.0
1621631595040,0.0,0.0,0.0,9.1
1621631595141,0.0,0.0,0.0,0.0
1621631595241,0.0,0.0,0.0,0.0
1621631595342,0.0,10.0,0.0,0.0
1621631595442,0.0,0.0,0.0,0.0
1621631595543,10.0,0.0,0.0,0.0
1621631595643,0.0,0.0,0.0,0.0
1621631595744,0.0,0.0,0.0,0.0
1621631595844,0.0,0.0,16.7,9.1
1621631595945,0.0,0.0,0.0,0.0
1621631596045,0.0,0.0,0.0,0.0
1621631596145,0.0,0.0,0.0,0.0
1621631596246,0.0,0.0,0.0,0.0
1621631596346,0.0,0.0,0.0,0.0
1621631596447,0.0,0.0,0.0,0.0
1621631596547,0.0,0.0,0.0,0.0
