p95,QPS,target
444.4,5045.0,5031
1925.5,54836.4,54838
667.5,74875.3,74868
1135.0,30007.2,30015
1533.4,40846.3,40743
1586.9,23658.5,23648
1449.4,97580.3,97712
666.3,53841.0,53672
1657.4,55463.0,55395
1352.7,29460.1,29425
852.8,15230.5,15173
1524.3,82621.1,82475
719.2,90680.5,90555
1526.5,47890.2,47944
1256.9,28360.3,28313
1225.9,28504.4,28504
1058.5,22842.2,22886
1357.5,35710.0,35717
828.3,14846.1,14828
1516.1,81872.1,81704
1322.0,55765.8,55771
1451.9,85128.9,85226
729.2,75211.5,75020
730.5,12416.1,12441
1850.2,56193.8,56208
939.0,17529.2,17446
1471.1,86986.9,86943
1578.8,49075.2,49138
1726.8,49891.8,49839
1698.2,47746.1,47752
1166.3,27171.2,27181
496.8,6219.2,6170
635.6,7170.5,7187
1422.4,99336.5,99387
693.3,91915.8,91970
691.9,79581.1,79658
714.0,59231.6,59230
1526.7,78113.9,78081
691.4,64015.7,64242
1483.0,37821.6,37702
1600.9,40663.1,40686
1357.3,30386.3,30376
1552.1,38437.4,38416
851.8,65849.6,65892
688.0,39632.4,39560
557.5,9997.2,10016
1859.2,55075.5,55224
973.1,19888.5,19982
1739.5,48067.0,48114
1502.5,36237.0,36283
1165.7,23373.3,23315
790.4,11092.7,11150
1137.2,98747.8,98724
685.8,56963.7,56880
614.6,13520.3,13467
1402.0,99373.1,99368
1631.9,46264.2,46206
1592.2,71665.7,71651
1038.4,22864.5,22741
1737.0,56735.8,56654
698.0,99567.2,99570
1166.7,23086.6,23047
1172.8,69978.2,70008
663.7,43000.1,42943
1713.9,46660.9,46704
1612.6,75956.9,75970
983.5,21834.0,21917
1501.2,82008.9,82027
684.0,81481.0,81583
778.1,14291.0,14259
652.2,7832.9,7821
978.7,17629.9,17727
806.4,65659.2,65559
1502.9,41088.1,41133
1193.0,28653.2,28693
1796.0,53125.8,53141
1827.7,54505.9,54512
834.2,14831.7,14835
1018.6,98440.9,98446
738.4,38083.3,38117
728.6,77982.5,77994
730.8,30010.7,30209
692.6,68315.5,68315
682.6,91863.9,91940
1635.2,49282.8,49308
1685.9,46925.5,46880
1398.7,92552.5,92540
764.1,49457.3,49396
693.7,97735.6,97841
781.0,35511.7,35404
710.5,80383.6,80451
688.3,87281.9,87228
688.7,75577.6,75554
719.1,57964.5,57964
708.4,83485.0,83546
701.1,55465.9,55468
1242.5,34295.1,34203
1513.4,37527.7,37629
1409.8,34499.2,34577
1689.7,47440.2,47426
1909.9,58898.3,58845
773.7,66939.3,66993
707.5,11010.2,10977
1768.9,51435.2,51529
1697.7,48229.8,48344
503.2,5996.8,5902
1393.0,71389.3,71602
724.3,42000.7,41886
720.4,47467.1,47456
682.0,94079.9,93939
613.5,16930.8,16890
750.9,45712.4,45689
693.1,32775.1,32790
730.1,44132.5,44044
748.1,28083.7,28149
747.7,39844.4,39739
685.1,72344.5,72475
679.4,93785.8,93882
478.4,6656.1,6692
681.1,50274.9,50406
701.3,83161.6,83055
726.9,55707.7,55609
635.9,17002.6,16968
703.7,43038.3,43031
644.1,17298.3,17236
684.1,82066.1,82183
808.9,42091.7,42212
563.0,12246.0,12244
676.9,61726.2,61777
729.0,37073.6,36984
586.2,29102.8,29093
591.5,41813.2,41715
583.6,34907.6,34838
608.4,63507.9,63574
538.6,24357.6,24401
566.2,32038.0,32025
633.4,98970.8,98971
582.4,23640.6,23657
630.5,67821.8,67877
627.0,53824.7,53849
633.7,79478.7,79536
516.7,17123.1,17081
607.2,39007.5,39024
580.8,26178.8,26125
594.5,33322.2,33388
538.6,21071.8,20979
637.7,95924.7,95865
623.2,73745.2,73949
617.7,60906.5,60987
615.4,54238.3,54175
642.8,51388.6,51484
584.2,39834.7,39771
580.3,32800.7,32864
589.1,41963.5,42033
611.4,43859.8,43808
658.1,45683.6,45785
644.0,35580.3,35582
637.3,38561.3,38504
493.4,15247.6,15320
647.3,74183.2,74264
623.2,43968.3,43890
375.8,5984.1,5962
617.5,38292.7,38365
625.2,56051.7,55971
556.7,23290.7,23217
649.4,87858.9,87681
651.8,91819.1,91728
641.5,96633.7,96668
635.4,80497.5,80475
578.3,27196.0,27150
612.3,53367.4,53444
552.6,23662.2,23737
644.5,87769.4,87776
629.8,82262.3,82175
639.2,98617.1,98548
590.8,37691.2,37704
620.6,64624.0,64701
628.8,69214.8,69089
645.2,89895.5,89785
512.6,16668.8,16676
